Title,IMSRB_title_url,IMSRB_scripts_url
15 Minutes,https://www.imsdb.com/Movie Scripts/15 Minutes Script.html,https://www.imsdb.com/scripts/15-Minutes.html
2012,https://www.imsdb.com/Movie Scripts/2012 Script.html,https://www.imsdb.com/scripts/2012.html
30 Minutes or Less,https://www.imsdb.com/Movie Scripts/30 Minutes or Less Script.html,https://www.imsdb.com/scripts/30-Minutes-or-Less.html
48 Hrs.,https://www.imsdb.com/Movie Scripts/48 Hrs. Script.html,https://www.imsdb.com/scripts/48-Hrs..html
A Most Violent Year,https://www.imsdb.com/Movie Scripts/A Most Violent Year Script.html,https://www.imsdb.com/scripts/A-Most-Violent-Year.html
Above the Law,https://www.imsdb.com/Movie Scripts/Above the Law Script.html,https://www.imsdb.com/scripts/Above-the-Law.html
"Abyss, The","https://www.imsdb.com/Movie Scripts/Abyss, The Script.html","https://www.imsdb.com/scripts/Abyss,-The.html"
Air Force One,https://www.imsdb.com/Movie Scripts/Air Force One Script.html,https://www.imsdb.com/scripts/Air-Force-One.html
Alien,https://www.imsdb.com/Movie Scripts/Alien Script.html,https://www.imsdb.com/scripts/Alien.html
Alien 3,https://www.imsdb.com/Movie Scripts/Alien 3 Script.html,https://www.imsdb.com/scripts/Alien-3.html
Alien vs. Predator,https://www.imsdb.com/Movie Scripts/Alien vs. Predator Script.html,https://www.imsdb.com/scripts/Alien-vs.-Predator.html
Alien: Resurrection,https://www.imsdb.com/Movie Scripts/Alien: Resurrection Script.html,https://www.imsdb.com/scripts/Alien-Resurrection.html
Aliens,https://www.imsdb.com/Movie Scripts/Aliens Script.html,https://www.imsdb.com/scripts/Aliens.html
Alone in the Dark,https://www.imsdb.com/Movie Scripts/Alone in the Dark Script.html,https://www.imsdb.com/scripts/Alone-in-the-Dark.html
American Outlaws,https://www.imsdb.com/Movie Scripts/American Outlaws Script.html,https://www.imsdb.com/scripts/American-Outlaws.html
American Shaolin: King of Kickboxers II,https://www.imsdb.com/Movie Scripts/American Shaolin: King of Kickboxers II Script.html,https://www.imsdb.com/scripts/American-Shaolin-King-of-Kickboxers-II.html
American Sniper,https://www.imsdb.com/Movie Scripts/American Sniper Script.html,https://www.imsdb.com/scripts/American-Sniper.html
Apocalypse Now,https://www.imsdb.com/Movie Scripts/Apocalypse Now Script.html,https://www.imsdb.com/scripts/Apocalypse-Now.html
Arctic Blue,https://www.imsdb.com/Movie Scripts/Arctic Blue Script.html,https://www.imsdb.com/scripts/Arctic-Blue.html
Armageddon,https://www.imsdb.com/Movie Scripts/Armageddon Script.html,https://www.imsdb.com/scripts/Armageddon.html
